CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Exited
420.6306212445213,40,1,246.9049205777063,3,0,0,135201.22934732062,1,1,0
740.9409501200997,55,1,168544.33200863187,2,0,0,74001.6057891231,0,1,1
562.3428800590353,29,2,101221.0297814667,4,0,0,124112.1209125077,1,0,1
388.32390038778743,42,6,92281.12676770336,1,0,1,114833.9358371652,1,1,0
351.7189459879382,71,8,47735.82137487622,4,1,0,81340.71238770711,0,1,1
308.65748933678753,74,7,89465.00822232732,4,1,0,45832.37350528392,1,1,0
435.38828270089465,37,8,190085.4299260275,4,1,0,93087.5193859805,1,1,1
743.7376014769072,66,5,42157.52679087674,4,1,0,143249.3945279554,0,0,1
532.7794541796352,66,0,35808.24769015247,2,1,0,44150.420143560754,0,1,0
594.1013391846709,59,3,48379.26081188959,2,0,0,53281.61787720501,0,0,0
793.1349504208447,24,5,110366.83886745328,1,0,1,149090.70932118245,1,0,0
382.98608446715747,46,5,186059.96308666,3,0,0,136034.22672360466,0,1,1
683.8689798972136,65,7,114776.31815305151,3,0,1,91441.4804999706,1,1,0
382.1316529685381,46,0,48696.49532116418,4,0,1,110316.35441993296,1,0,0
429.3598454967232,30,10,88090.46306425241,4,1,1,77598.10308897118,0,0,0
577.0529345995277,20,1,78080.02635714915,2,0,0,72532.04795415819,0,1,1
639.0466696692429,19,1,9313.893972487453,3,1,1,77614.3803162078,0,1,0
800.8918990371695,33,5,102128.36970581172,1,1,1,73874.1519112533,0,1,0
708.3759928027922,47,10,25201.27732673476,4,1,0,107822.1514982921,1,1,1
713.9899740726811,55,6,168448.80841677502,2,0,0,62959.36134301361,1,0,0
481.89354171570477,23,1,109792.58185917936,4,0,1,42200.9328229898,1,0,0
540.3152360846963,62,4,168921.29652347518,4,0,1,111853.78065133932,0,0,0
470.1459890491148,24,5,191208.93747560825,2,1,1,24068.678515973646,0,1,0
734.3758680299785,22,3,188637.6581500553,3,1,0,113437.93535914262,1,0,0
626.9259022408158,73,0,20085.86686151075,3,0,0,54221.6804142949,0,0,1
322.7723519466864,24,2,188963.41431000145,4,1,0,44732.874572434186,1,1,0
561.9552977164906,51,9,159149.44155790203,3,1,1,69264.36721013818,0,0,0
790.9561257576139,49,8,155531.6210521582,2,1,0,35274.99492119701,0,0,0
361.48268032751304,66,5,18025.70805363508,3,0,0,69983.65119309846,0,1,1
822.9952666331507,30,1,35902.94045671982,4,1,0,33301.823879373005,0,0,0
732.9052149656094,47,8,195032.6759829537,4,0,1,82853.53531142388,1,0,0
483.21357405601725,42,3,42674.03143105888,2,0,0,42902.067423039945,0,1,1
536.9406776995736,38,10,33810.66603348013,4,1,1,36899.55607909491,1,1,0
825.9690827903737,77,7,72470.32374189358,3,1,1,95284.25188262603,0,0,1
425.796621167346,76,9,182671.23950697805,2,1,0,101281.85655858618,0,1,1
772.8421860087077,38,6,95238.69271131112,4,0,0,20717.28031124008,1,1,1
330.1380268264255,45,10,184116.7438178173,2,0,0,70398.06470517244,0,0,1
467.71406528775253,65,2,66867.75608304713,2,1,1,30134.291705621792,1,0,0
565.7403954820813,75,7,45305.729045399865,3,1,1,116023.77991958788,0,0,0
678.3704390442618,37,3,99040.60177020713,3,0,1,108597.98084033198,0,1,0
614.1002172160343,51,1,123095.37805237772,1,1,1,26464.787295718044,1,0,0
296.362380616994,22,10,78299.79972271122,2,0,0,142362.57674727554,0,1,0
565.988518142217,35,4,69206.10191890635,3,1,0,144794.84572160942,1,1,0
623.2477598998369,77,0,43611.85695464933,4,1,1,63507.31178650958,0,1,0
617.7103537687952,56,7,55001.353244354286,1,1,1,36979.64099670932,0,1,0
413.0502089263579,60,7,134623.59263046016,1,0,1,34864.62145215798,1,0,0
692.8797207074848,74,2,73974.70772273558,4,1,1,129293.66897701607,1,0,0
764.431983873658,74,0,15951.408344205698,3,1,0,79691.17558256596,0,1,0
731.8818283609199,28,3,27631.077990506925,2,0,0,21236.097281409904,1,1,0
809.0454156994588,71,8,74475.83767822215,1,0,0,140295.7712430553,0,1,1
306.1606573120087,34,8,184900.4859695724,4,0,0,97055.8523824382,1,1,1
530.8294956487282,65,0,75806.05232919606,4,0,1,109751.60842866349,1,1,0
378.5750016202607,62,10,12128.415490335054,4,0,1,127062.01185903994,0,0,0
675.2909710451412,39,6,83598.85157600317,4,0,0,126415.23108330715,1,0,0
337.6536736995193,54,5,133763.51879203317,1,0,0,29854.633427644152,0,1,1
686.704178470506,37,6,118719.2269896442,2,0,0,94618.99809397932,1,0,0
418.85221687156974,65,6,55760.59247720602,3,1,0,110511.80161953373,0,1,0
780.3310057558505,77,7,137617.78460973882,4,1,0,31130.656916051616,0,0,0
649.3782124242367,71,7,126124.87477306648,4,1,0,48912.11793573889,0,0,1
450.23502129270304,71,9,34434.59376579372,2,1,1,71455.87960715305,1,1,0
520.2894428513305,65,10,32429.000713649,2,0,1,135248.2582203183,0,0,0
546.6750119069656,65,1,109436.61641358816,3,0,0,130582.34185032564,0,0,0
598.0096096859537,63,3,131887.71222322076,1,0,0,121673.39018521908,0,1,0
727.0367370090626,23,3,192382.1169720521,2,0,1,148735.97251942748,0,0,0
786.0134283702696,51,10,84386.12614635595,1,0,1,51545.364707130095,0,1,0
570.6727811384504,31,9,152987.84793438268,1,1,0,80815.92530608393,0,1,1
582.6343863566929,65,7,23304.14945827528,4,1,1,78073.9916038601,0,1,0
645.2767417604476,40,2,177921.80546312942,1,0,1,108261.86373576013,1,0,0
358.3745320309705,79,2,126621.50827976796,4,1,1,130519.92725713992,0,1,0
540.9295959269655,37,1,125806.06627024946,4,0,1,83918.75818630436,0,1,0
472.49483733286206,30,0,28488.5267664871,3,0,1,83899.1331018766,0,1,0
677.2835688778373,64,7,7916.745905179589,1,1,1,99081.315670803,1,1,0
797.5199051367648,61,8,140289.82759692392,2,1,1,116521.6917880064,0,1,0
350.55038407340487,58,8,23411.29179291732,2,0,1,46169.10211170348,1,0,0
484.156745658928,49,10,25394.029896786546,2,1,1,145041.74157155654,0,1,0
311.1515749633223,43,7,37500.029269397,3,0,1,31966.95248139542,0,1,0
356.81991775617917,67,4,19549.29662792049,4,0,0,23003.009522655728,0,0,1
796.4915472387049,70,0,125078.50408606137,4,1,0,66642.88291442371,0,0,1
635.2540695840944,31,8,84400.9611697176,2,0,1,111186.54186880264,1,1,0
407.19400818789086,69,5,53219.21848190965,4,0,0,147149.74534367683,0,1,0
752.7763308956022,74,6,88149.88007431533,4,1,0,141258.85926003073,1,0,1
362.23304630708395,53,7,168828.00041303996,3,0,1,109503.36814812035,1,1,0
441.287423598382,25,4,185415.88100872724,1,0,0,76750.94354554234,1,0,0
798.0503335466489,57,5,97495.22893068832,1,1,1,97454.2324334816,1,0,0
698.8628751919168,39,6,113350.58302256047,3,1,0,145925.44798234222,1,1,0
731.6143945473847,39,6,51439.986067974576,3,1,0,54515.13860177314,0,0,1
590.7644727372424,33,1,102720.07572742386,4,0,0,82176.49317274772,1,1,1
684.8041199196763,44,10,149623.92138704643,3,0,1,110077.21979324358,0,0,0
826.9410575426466,73,0,98427.4527312339,4,1,0,21338.85467655232,1,1,1
568.6734157122532,77,7,60414.58015783394,1,1,1,69563.98423809676,1,0,0
315.0245468330536,78,4,116406.8694449918,3,0,0,93828.5860445482,1,0,1
306.4674189330113,77,9,189331.20617716893,4,1,0,137119.3763113811,1,0,1
426.7068398982883,27,1,177596.77079662235,1,0,1,148959.6960080227,0,0,0
511.39856511750475,42,2,153848.47583509126,1,0,0,92322.17280960146,0,0,0
317.6513184531114,48,5,55241.926533041806,2,1,1,142795.4373710312,0,0,0
312.0773469265685,38,9,48311.90144328028,1,0,1,32904.516971290104,0,0,0
771.7771582200679,44,5,167707.43795951956,3,1,1,111165.2072464811,1,0,0
